,type,date_open,date_close,x_name,y_name,x_type,y_type,y_openprice,y_closeprice,x_openprice,x_closeprice,x_volume,y_volume,profit,status,s_spread,l_spread,tp_short,tp_long,tp_return,s_return,s_number,period,count,days,min_count
27,short_spread,2020-02-27 16:05:00,2020-03-03 13:40:00,IGTA3,ITSA4,buy,sell,11.68,11.78,50.32,51.56,200.0,1000.0,148.00000000000074,close,1,-2,0,0,2003,-145,29,114,215,10,215
28,long_spread,2020-02-28 12:10:00,2020-03-04 12:05:00,ITUB4,BBSE3,sell,buy,28.72,28.68,30.16,30.49,1000.0,1000.0,-369.99999999999744,close,1,-2,0,0,2794,-250,25,105,225,,225
29,long_spread,2020-02-27 15:20:00,2020-03-03 10:20:00,BBDC4,BBDC3,sell,buy,21.93,21.51,24.45,24.17,900.0,1000.0,-168.00000000000034,close,0,-1,0,1,1920,-175,25,62,181,10,181
30,short_spread,2020-02-28 11:40:00,2020-03-02 13:05:00,IGTA3,ITSA4,buy,sell,11.52,11.87,48.03,50.36,200.0,1000.0,116.0,close,0,0,-1,0,1989,-97,26,99,99,10,99
31,long_spread,2020-03-02 13:15:00,2020-03-04 11:50:00,IGTA3,ITSA4,sell,buy,11.88,11.83,50.31,51.03,200.0,1000.0,-194.00000000000048,close,0,0,-1,0,1989,-97,26,99,99,10,99
32,short_spread,2020-03-02 12:45:00,2020-03-05 15:30:00,MULT3,SULA11,buy,sell,48.62,45.35,30.64,30.41,1000.0,600.0,1731.9999999999973,close,2,-5,-1,1,1514,-13,32,37,235,10,235
33,long_spread,2020-03-02 14:40:00,2020-03-05 13:35:00,ITUB4,BBSE3,sell,buy,29.69,28.86,31.2,30.14,1000.0,1000.0,229.99999999999682,close,0,0,0,0,827,-57,46,135,207,10,207
34,long_spread,2020-03-02 10:15:00,2020-03-03 10:10:00,CIEL3,BPAC11,sell,buy,16.11,16.44,6.64,6.95,1000.0,400.0,-177.99999999999977,close,3,0,-1,0,2389,-282,49,82,58,,58
35,long_spread,2020-03-03 10:15:00,2020-03-04 13:55:00,CIEL3,BPAC11,sell,buy,16.46,16.05,6.98,7.08,1000.0,400.0,-263.9999999999997,close,3,0,-1,0,2389,-282,49,82,58,,58
36,short_spread,2020-03-03 10:50:00,2020-03-06 16:25:00,BBAS3,ITUB4,buy,sell,30.6,28.91,44.44,40.43,700.0,1000.0,-1116.9999999999973,close,0,-2,-1,1,999,-91,30,89,215,,215
37,long_spread,2020-03-03 13:10:00,2020-03-06 16:30:00,IGTA3,ITSA4,sell,buy,11.84,11.17,51.7,47.87,200.0,1000.0,96.00000000000125,close,1,0,0,1,2098,-255,28,117,232,10,232
38,short_spread,2020-03-04 11:25:00,2020-03-09 16:25:00,MULT3,SULA11,buy,sell,46.66,37.7,31.13,26.26,1000.0,700.0,1401.9999999999982,close,0,-5,0,0,1182,-5,48,96,235,10,235
39,short_spread,2020-03-04 15:25:00,2020-03-09 16:25:00,BPAC11,BBDC3,buy,sell,21.52,18.47,16.19,11.68,1000.0,800.0,-2070.0000000000014,close,1,-3,-1,0,1057,-48,43,144,206,,206
40,long_spread,2020-03-04 15:05:00,2020-03-09 10:20:00,ITUB4,BBAS3,sell,buy,43.54,38.28,30.74,27.69,1000.0,700.0,-632.0000000000014,close,5,0,0,0,795,-173,47,140,59,,59
41,short_spread,2020-03-05 12:05:00,2020-03-09 16:25:00,B3SA3,SANB11,buy,sell,35.68,30.4,15.2,12.69,1000.0,400.0,-397.99999999999955,close,0,-4,-1,1,1339,-133,30,150,208,,208
42,long_spread,2020-03-03 12:35:00,2020-03-05 13:35:00,IGTA3,ITSA4,sell,buy,11.94,11.69,52.24,50.47,200.0,1000.0,104.00000000000063,close,2,0,-1,1,2038,-209,34,29,173,,173
43,short_spread,2020-03-05 14:10:00,2020-03-09 16:25:00,IGTA3,ITSA4,buy,sell,11.69,10.49,50.18,42.03,200.0,1000.0,-430.00000000000045,close,2,0,-1,1,2038,-209,34,29,173,,173
44,short_spread,2020-03-05 16:40:00,2020-03-10 16:45:00,BPAC11,BBDC3,buy,sell,21.08,18.49,15.26,12.6,1000.0,700.0,-847.0,close,1,-3,-1,1,825,-16,35,148,207,,207
45,long_spread,2020-03-04 14:30:00,2020-03-06 15:35:00,ITUB4,BBAS3,sell,buy,43.07,40.6,30.44,29.21,1000.0,700.0,-498.99999999999864,close,5,0,-1,1,907,-82,40,52,56,,56
