,type,date_open,date_close,x_name,y_name,x_type,y_type,y_openprice,y_closeprice,x_openprice,x_closeprice,x_volume,y_volume,profit,status,s_spread,l_spread,tp_short,tp_long,tp_return,s_return,s_number,period,count,days,min_count
37,long_spread,2020-02-19 13:15:00,2020-02-26 13:15:00,BBAS3,BPAC11,sell,buy,18.0,16.68,47.46,43.9,800.0,2000.0,208.00000000000136,close,5,0,-1,0,2956,-161,32,37,208,10,208
38,long_spread,2020-02-19 16:10:00,2020-02-21 12:40:00,CIEL3,MULT3,sell,buy,33.92,32.83,7.21,6.88,2000.0,400.0,223.99999999999875,close,5,-1,-1,1,2751,-230,46,31,120,10,120
39,long_spread,2020-02-26 11:05:00,2020-02-27 14:35:00,CIEL3,MULT3,sell,buy,29.574925742574262,30.43,6.333019801980191,6.66,2000.0,400.0,-311.93069306932347,close,5,-1,-1,1,2751,-230,46,31,120,10,120
40,long_spread,2020-02-21 11:35:00,2020-02-28 16:30:00,SANB11,B3SA3,sell,buy,16.01,14.5,38.06,36.31,800.0,2000.0,-1620.0000000000032,close,4,0,0,1,823,-57,29,98,207,,207
41,long_spread,2020-02-26 11:30:00,2020-02-28 14:10:00,BBAS3,BPAC11,sell,buy,15.115915841584139,15.76,40.7383910891089,43.29,800.0,2000.0,-753.1188118811556,close,5,-4,0,0,1016,-36,42,17,191,,191
42,long_spread,2020-02-26 13:50:00,2020-03-02 13:35:00,SANB11,B3SA3,sell,buy,15.41,15.32,36.17,36.82,800.0,2000.0,-699.9999999999986,close,4,0,0,0,973,-187,30,123,218,,218
43,long_spread,2020-02-27 11:25:00,2020-03-02 16:30:00,CIEL3,MULT3,sell,buy,30.19,30.88,6.63,6.85,2000.0,400.0,-164.0000000000004,close,5,-2,-1,1,2850,-299,37,121,209,10,209
44,long_spread,2020-02-26 13:05:00,2020-02-27 14:35:00,SANB11,B3SA3,sell,buy,13.653415841584154,14.89,36.31,36.35,800.0,2000.0,2441.168316831693,close,3,0,-1,0,1479,-266,33,34,89,10,89
45,long_spread,2020-02-27 14:45:00,2020-02-28 15:25:00,SANB11,B3SA3,sell,buy,14.99,14.56,36.35,36.21,800.0,2000.0,-747.999999999999,close,3,0,-1,0,1479,-266,33,34,89,10,89
46,long_spread,2020-02-28 15:30:00,2020-03-02 16:10:00,SANB11,B3SA3,sell,buy,14.43,15.4,36.06,36.48,800.0,2000.0,1604.0000000000057,close,3,0,-1,0,1479,-266,33,34,89,10,89
