,type,date_open,date_close,x_name,y_name,x_type,y_type,y_openprice,y_closeprice,x_openprice,x_closeprice,x_volume,y_volume,profit,status,s_spread,l_spread,tp_short,tp_long,tp_return,s_return,s_number,period,count,days,min_count
31,short_spread,2019-02-15 15:40:00,2019-02-19 12:50:00,SANB11,MULT3,buy,sell,24.83,24.48,43.28,43.68,1200.0,2000.0,1179.999999999994,close,0,-4,-1,1,814,-166,44,147,103,10,103
32,short_spread,2019-02-19 13:05:00,2019-02-20 14:50:00,SANB11,MULT3,buy,sell,24.48,24.2,43.7,43.5,1200.0,2000.0,319.99999999999886,close,0,-4,-1,1,814,-166,44,147,103,10,103
33,short_spread,2019-02-14 14:30:00,2019-02-15 14:30:00,BBDC3,BBDC4,buy,sell,27.75,28.62,24.78,25.45,2000.0,1800.0,-226.00000000000546,close,2,-3,0,0,2953,-234,33,36,70,,70
34,short_spread,2019-02-15 16:40:00,2019-02-18 15:40:00,BBDC3,BBDC4,buy,sell,28.66,28.29,25.5,25.04,2000.0,1800.0,-253.9999999999999,close,2,-3,0,0,2953,-234,33,36,70,,70
35,long_spread,2019-02-18 11:25:00,2019-02-20 14:30:00,ITSA4,CIEL3,sell,buy,9.99,10.28,11.23,11.52,1800.0,2000.0,57.999999999999886,close,5,0,-1,1,860,-46,47,96,129,10,129
36,short_spread,2019-02-15 11:30:00,2019-02-20 14:45:00,BBDC3,BBDC4,buy,sell,28.63,28.23,25.5,25.33,2000.0,1800.0,379.9999999999941,close,0,-2,0,0,2228,-96,33,16,282,10,282
37,long_spread,2019-02-19 13:30:00,2019-02-25 10:45:00,ITSA4,CIEL3,sell,buy,10.05,10.58,11.51,11.67,1800.0,2000.0,771.9999999999984,close,3,0,0,1,1215,-20,29,40,291,10,291
38,long_spread,2019-02-19 14:35:00,2019-02-25 11:00:00,BBDC3,BBDC4,sell,buy,28.43,27.86,25.32,25.03,2000.0,1800.0,-446.00000000000216,close,2,-2,0,0,1572,-91,36,38,281,,281
39,short_spread,2019-02-21 10:55:00,2019-02-21 16:15:00,ITSA4,CIEL3,buy,sell,10.12,9.99,11.46,11.5,1800.0,2000.0,331.9999999999965,close,2,0,-1,1,1805,-9,45,90,65,10,65
40,long_spread,2019-02-21 16:25:00,2019-02-22 15:25:00,ITSA4,CIEL3,sell,buy,10.0,10.36,11.51,11.58,1800.0,2000.0,593.9999999999984,close,2,0,-1,1,1805,-9,45,90,65,10,65
41,long_spread,2019-02-25 15:50:00,2019-02-26 14:30:00,ITSA4,CIEL3,sell,buy,10.27,10.56,11.58,11.67,1800.0,2000.0,418.00000000000205,close,2,0,-1,1,1805,-9,45,90,65,10,65
42,long_spread,2019-02-20 13:30:00,2019-02-26 10:50:00,SANB11,B3SA3,sell,buy,9.93,10.22,43.7,42.16,400.0,2000.0,1196.0000000000043,close,3,0,0,1,1215,-20,29,40,291,10,291
