,type,date_open,date_close,x_name,y_name,x_type,y_type,y_openprice,y_closeprice,x_openprice,x_closeprice,x_volume,y_volume,profit,status,s_spread,l_spread,tp_short,tp_long,tp_return,s_return,s_number,period,count,days,min_count
27,short_spread,2020-02-28 11:20:00,2020-03-03 11:50:00,IGTA3,ITSA4,buy,sell,11.5,11.71,48.38,50.55,200.0,1000.0,223.99999999999807,close,2,-1,0,1,1033,-84,25,105,169,10,169
28,long_spread,2020-02-28 13:50:00,2020-03-04 11:25:00,ITUB4,BBSE3,sell,buy,29.03,28.88,30.46,30.54,1000.0,1000.0,-230.00000000000043,close,1,0,0,0,2564,-171,49,125,214,,214
29,short_spread,2020-02-28 13:35:00,2020-03-02 15:55:00,IGTA3,ITSA4,buy,sell,11.5,11.82,48.59,50.74,200.0,1000.0,109.99999999999943,close,1,-5,-1,1,1908,-222,26,122,109,10,109
30,long_spread,2020-02-27 15:20:00,2020-03-03 10:20:00,BBDC4,BBDC3,sell,buy,21.93,21.51,24.45,24.17,900.0,1000.0,-168.00000000000034,close,0,-1,0,1,1920,-175,25,62,181,10,181
31,short_spread,2020-03-02 12:45:00,2020-03-05 15:30:00,MULT3,SULA11,buy,sell,48.62,45.35,30.64,30.41,1000.0,600.0,1731.9999999999973,close,2,-5,-1,1,1514,-13,32,37,235,10,235
32,long_spread,2020-03-02 10:15:00,2020-03-03 10:10:00,CIEL3,BPAC11,sell,buy,16.11,16.44,6.64,6.95,1000.0,400.0,-177.99999999999977,close,3,0,-1,0,2389,-282,49,82,58,,58
33,long_spread,2020-03-03 10:15:00,2020-03-04 13:55:00,CIEL3,BPAC11,sell,buy,16.46,16.05,6.98,7.08,1000.0,400.0,-263.9999999999997,close,3,0,-1,0,2389,-282,49,82,58,,58
34,long_spread,2020-03-02 14:35:00,2020-03-05 14:40:00,ITUB4,BBSE3,sell,buy,29.72,28.78,31.15,29.93,1000.0,1000.0,280.00000000000114,close,0,0,0,1,1821,-69,39,134,205,10,205
35,short_spread,2020-03-02 13:30:00,2020-03-03 10:55:00,BBAS3,ITUB4,buy,sell,31.36,30.39,44.86,44.33,700.0,1000.0,598.9999999999981,close,0,-1,-1,0,2961,-108,46,40,51,10,51
36,long_spread,2020-03-03 11:05:00,2020-03-03 15:20:00,BBAS3,ITUB4,sell,buy,30.49,30.44,44.54,43.83,700.0,1000.0,447.0000000000034,close,0,-1,-1,0,2961,-108,46,40,51,10,51
37,short_spread,2020-03-03 15:25:00,2020-03-04 13:15:00,BBAS3,ITUB4,buy,sell,30.39,30.25,43.66,43.25,700.0,1000.0,-146.99999999999704,close,0,-1,-1,0,2961,-108,46,40,51,10,51
38,short_spread,2020-03-04 13:25:00,2020-03-05 10:50:00,BBAS3,ITUB4,buy,sell,30.34,30.18,43.18,42.94,700.0,1000.0,-8.00000000000125,close,0,-1,-1,0,2961,-108,46,40,51,10,51
39,short_spread,2020-03-05 11:05:00,2020-03-06 14:25:00,BBAS3,ITUB4,buy,sell,30.06,29.02,42.69,40.22,700.0,1000.0,-689.0,close,0,-1,-1,0,2961,-108,46,40,51,10,51
40,short_spread,2020-03-04 16:05:00,2020-03-06 16:25:00,IGTA3,ITSA4,buy,sell,11.79,11.14,51.02,47.87,200.0,1000.0,19.9999999999975,close,1,-5,-1,0,2809,-299,39,129,103,10,103
41,short_spread,2020-03-04 11:25:00,2020-03-09 16:25:00,MULT3,SULA11,buy,sell,46.66,37.7,31.13,26.26,1000.0,700.0,1401.9999999999982,close,0,-5,0,0,1182,-5,48,96,235,10,235
42,short_spread,2020-03-04 15:25:00,2020-03-09 16:25:00,BPAC11,BBDC3,buy,sell,21.52,18.47,16.19,11.68,1000.0,800.0,-2070.0000000000014,close,1,-3,-1,0,1057,-48,43,144,206,,206
43,long_spread,2020-03-04 10:35:00,2020-03-04 16:50:00,ITUB4,BBAS3,sell,buy,43.83,43.52,30.67,30.77,1000.0,700.0,-316.9999999999945,close,5,-2,-1,0,1251,-245,37,37,70,,70
