ABEV3
AZUL4
BTOW3
B3SA3
BBSE3
BRML3
BBDC4
BBAS3
BRFS3
BPAC11
CMIG4
CIEL3
COGN3
CSAN3
CYRE3
ELET3
EMBR3
EQTL3
GGBR4
GOAU4
GOLL4
NTCO3
HAPV3
GNDI3
IRBR3
ITSA4
ITUB4
JBSS3
KLBN11
RENT3
LAME4
LREN3
MGLU3
MRFG3
MULT3
PETR3
PETR4
BRDT3
PRIO3
RADL3
RAIL3
SBSP3
CSNA3
SUZB3
TOTS3
UGPA3
USIM5
VALE3
VVAR3
WEGE3
