AFHI11
AFCR11
AFOF11
ALZR11
ARFI11
AQLL11
AIEC11
BCRI11
BNFS11
BBFI11
BBFO11
BBPO11
BBIM11
BBRC11
RDPD11
RNDP11
BLCP11
BLMC11
BLMG11
BLMO11
BLMR11
BCIA11
BREV11
BZLI11
CARE11
BRCO11
BICE11
BRIM11
BRIP11
BTLG11
BTWR11
BTSG11
CRFF11
CXRI11
CPFF11
CPTS11
CBOP11
CFHI11
CJCT11
CORM11
HGFF11
HGLG11
HGPO11
HGRE11
HGCR11
HGRU11
DLMT11
DEVA11
DAMT11
DOVL11
EGYR11
ERCR11
ERPA11
KEVE11
KINP11
FLCR11
VRTA11
BMII11
BTCR11
MTRS11
ANCR11
FAED11
BMLC11
BPRP11
BRCR11
FEXC11
BCFF11
FCFL11
CNES11
CEOC11
THRA11
FAMB11
EDGA11
ELDO11
FLRP11
HCRI11
NSLU11
HTMX11
MAXR11
NCHB11
NVHO11
PQDP11
PATB11
RBRM11
RBRR11
RECR11
RECT11
JRDM11
SHDP11
SAIC11
TBOF11
ALMI11
TRNT11
VLOL11
OUFF11
WTSP11
RECH11
VVPR11
LVBI11
BARI11
BRHT11
BPFF11
BVAR11
BPML11
CXCE11
CXTL11
CTXT11
CJFI11
FLMA11
EDFO11
EURO11
GESE11
ABCP11
GTWR11
HBTT11
HUSC11
FIIB11
FINF11
FMOF11
MBRF11
MGFF11
MVFI11
NPAR11
OULG11
PABY11
FPNG11
ESTQ11
VPSI11
FPAB11
RBRY11
RBRP11
RCRB11
RBED11
RBVA11
RNGO11
SFND11
FISC11
SCPF11
SDIL11
SHPH11
TGAR11
ONEF11
TORM11
TOUR11
VERE11
FVPQ11
FIVN11
VTLT11
VSEC11
VSHO11
IBFF11
PLCR11
VTPL11
RELG11
CVBI11
MCCI11
FGPM11
VTRT11
ATWN11
ARRI11
BTAL11
CXCO11
HOSI11
MGHT11
RECX11
PVBI11
MGCR11
RFOF11
TCIN11
VTPA11
VTXI11
HBRH11
FDHY11
IRDM11
SBCL11
SPVJ11
KFOF11
OURE11
LKDV11
FATN11
BRLA11
HBCR11
MINT11
RZTR11
ROOF11
GCFF11
GCRI11
GSFI11
GGRC11
RCFA11
GTLG11
GALG11
HABT11
ATCR11
HCTR11
HCST11
HCHG11
HAAA11
ATSA11
HGBS11
HLOG11
HRDF11
HREC11
HPDP11
HMOC11
HFOF11
HGIC11
HSAF11
HSLG11
HSML11
HSRE11
HUSI11
IFID11
IFIE11
BICR11
JBFO11
JFLL11
RBBV11
JPPA11
JPPC11
JSRE11
JTPR11
KISU11
KNHY11
KNRE11
KNIP11
KNRI11
KNCR11
KNSC11
LATR11
LASC11
LSPA11
LOFT11
LFTT11
LGCP11
LUGG11
DMAC11
MALL11
MADS11
MCFF11
MXRF11
MFII11
MFAI11
MGLG11
MGLC11
MORE11
PRTS11
SHOP11
DRIT11
MTOF11
MOFF11
NAVT11
NEWL11
NEWU11
NVIF11
FTCE11
OUJP11
ORPD11
PNDL11
PNPR11
VTVI11
PQAG11
PATC11
PATL11
PEMA11
PRSN11
PLOG11
PLRI11
PORD11
PRSV11
PBLV11
QAGR11
QAMI11
QIFF11
RSPD11
RBDS11
RBIR11
RBGS11
RBLG11
RBCO11
RRCI11
FIIP11
RBRD11
RBRU11
RCRI11
RBTS11
RBRF11
RCFF11
RBRL11
RMAI11
RBIV11
RBHY11
RBVO11
RBFF11
RBRS11
RZAK11
ARCT11
SADI11
SARE11
FISD11
SEQR11
WPLZ11
SJAU11
REIT11
SOLR11
SPTW11
SPAF11
STRX11
SNFF11
TELD11
TEPP11
TSER11
TORD11
TSNC11
TCPF11
XTED11
TRXF11
TRXB11
URPR11
VGIP11
VGHF11
VGIR11
EVBI11
RVBI11
VCJR11
VCRR11
VLJS11
SALI11
VSLH11
VIDS11
VIFI11
VILG11
VINO11
VISC11
VOTS11
VXXV11
XPCM11
XPCI11
XPHT11
XPIN11
XPLG11
XPML11
XPPR11
XPSF11
YUFI11
ZIFI11
